Force (N)	Position (mm)	Stress (MPa)	Strain (%)	Time (min)
84.1	43.4	3.42	145	8.69
84.2	43.4	3.42	145	8.69
84.2	43.5	3.42	145	8.70
84.2	43.5	3.42	145	8.70
84.2	43.5	3.42	145	8.70
84.2	43.5	3.42	145	8.70
83.6	43.5	3.40	145	8.70
84.2	43.5	3.42	145	8.70
84.2	43.5	3.42	145	8.71
84.2	43.5	3.42	145	8.71
84.2	43.5	3.42	145	8.71
84.2	43.5	3.42	145	8.71
84.2	43.5	3.42	145	8.71
84.2	43.6	3.42	145	8.72
84.2	43.6	3.42	145	8.72
84.2	43.6	3.42	145	8.72
84.2	43.6	3.42	145	8.72
84.2	43.6	3.42	145	8.72
84.2	43.6	3.42	145	8.72
84.2	43.6	3.42	145	8.73
84.2	43.6	3.42	145	8.73
84.2	43.6	3.42	145	8.73
84.2	43.6	3.42	145	8.73
84.2	43.6	3.42	145	8.73
84.2	43.7	3.42	146	8.73
84.2	43.7	3.42	146	8.74
84.2	43.7	3.42	146	8.74
84.2	43.7	3.42	146	8.74
84.2	43.7	3.42	146	8.74
84.2	43.7	3.42	146	8.74
84.2	43.7	3.42	146	8.75
84.2	43.7	3.42	146	8.75
84.2	43.7	3.42	146	8.75
84.2	43.7	3.42	146	8.75
84.2	43.7	3.42	146	8.75
84.2	43.8	3.42	146	8.75
84.2	43.8	3.42	146	8.76
84.2	43.8	3.42	146	8.76
84.2	43.8	3.42	146	8.76
85.0	43.8	3.46	146	8.76
85.0	43.8	3.46	146	8.76
84.2	43.8	3.42	146	8.77
84.2	43.8	3.42	146	8.77
84.2	43.8	3.42	146	8.77
85.0	43.8	3.46	146	8.77
84.2	43.8	3.42	146	8.77
84.2	43.9	3.42	146	8.77
84.8	43.9	3.45	146	8.78
84.2	43.9	3.42	146	8.78
84.2	43.9	3.43	146	8.78
84.2	43.9	3.43	146	8.78
84.2	43.9	3.42	146	8.78
84.7	43.9	3.45	146	8.79
85.0	43.9	3.46	146	8.79
85.0	43.9	3.46	146	8.79
85.0	43.9	3.46	146	8.79
84.4	43.9	3.43	146	8.79
84.2	44.0	3.42	147	8.79
85.0	44.0	3.46	147	8.80
85.0	44.0	3.46	147	8.80
85.0	44.0	3.46	147	8.80
84.8	44.0	3.45	147	8.80
85.0	44.0	3.46	147	8.80
85.0	44.0	3.46	147	8.80
85.0	44.0	3.46	147	8.81
85.0	44.0	3.46	147	8.81
85.0	44.0	3.46	147	8.81
85.0	44.0	3.46	147	8.81
85.0	44.0	3.46	147	8.81
85.0	44.1	3.46	147	8.82
85.0	44.1	3.46	147	8.82
85.0	44.1	3.46	147	8.82
85.0	44.1	3.46	147	8.82
85.0	44.1	3.46	147	8.82
85.0	44.1	3.46	147	8.82
85.0	44.1	3.46	147	8.83
85.0	44.1	3.46	147	8.83
85.0	44.1	3.46	147	8.83
85.0	44.1	3.46	147	8.83
85.0	44.1	3.46	147	8.83
85.0	44.2	3.46	147	8.84
85.0	44.2	3.46	147	8.84
85.0	44.2	3.46	147	8.84
85.0	44.2	3.46	147	8.84
85.0	44.2	3.46	147	8.84
85.0	44.2	3.46	147	8.84
85.0	44.2	3.46	147	8.85
85.0	44.2	3.46	147	8.85
85.0	44.2	3.46	147	8.85
85.0	44.2	3.46	147	8.85
85.0	44.2	3.46	147	8.85
85.0	44.3	3.46	148	8.86
85.0	44.3	3.46	148	8.86
85.0	44.3	3.46	148	8.86
85.0	44.3	3.46	148	8.86
85.0	44.3	3.46	148	8.86
85.0	44.3	3.46	148	8.86
85.0	44.3	3.46	148	8.87
85.6	44.3	3.48	148	8.87
85.0	44.3	3.46	148	8.87
85.0	44.3	3.46	148	8.87
85.0	44.3	3.46	148	8.87
85.0	44.4	3.46	148	8.87
85.8	44.4	3.49	148	8.88
85.8	44.4	3.49	148	8.88
85.8	44.4	3.49	148	8.88
85.0	44.4	3.46	148	8.88
85.8	44.4	3.49	148	8.88
85.8	44.4	3.49	148	8.89
85.8	44.4	3.49	148	8.89
85.8	44.4	3.49	148	8.89
85.8	44.4	3.49	148	8.89
85.8	44.4	3.49	148	8.89
37.1	44.5	1.51	148	8.89
-6.67	44.5	-0.271	148	8.90
-6.67	44.5	-0.271	148	8.90
-6.67	44.5	-0.271	148	8.90
-6.67	44.5	-0.271	148	8.90
-6.67	44.5	-0.271	148	8.90
-6.67	44.5	-0.271	148	8.91
-6.67	44.5	-0.271	148	8.91
-6.67	44.5	-0.271	148	8.91
-6.67	44.5	-0.271	148	8.91
-6.67	44.5	-0.271	148	8.91
-6.67	44.6	-0.271	149	8.91
-6.67	44.6	-0.271	149	8.92
-6.84	44.6	-0.279	149	8.92
-6.67	44.6	-0.271	149	8.92
-6.67	44.6	-0.271	149	8.92
-6.67	44.6	-0.271	149	8.92
-6.67	44.6	-0.271	149	8.92
-6.67	44.6	-0.271	149	8.93
-7.50	44.6	-0.305	149	8.93
-6.67	44.6	-0.271	149	8.93
-6.67	44.6	-0.271	149	8.93
-6.67	44.6	-0.271	149	8.93
-6.67	44.7	-0.271	149	8.94
-6.67	44.7	-0.271	149	8.94
-7.50	44.7	-0.305	149	8.94
-6.67	44.7	-0.271	149	8.94
-6.67	44.7	-0.271	149	8.94
-6.67	44.7	-0.271	149	8.94
-7.50	44.7	-0.305	149	8.95
-6.67	44.7	-0.271	149	8.95
-6.67	44.7	-0.271	149	8.95
-6.88	44.7	-0.280	149	8.95
-6.67	44.7	-0.271	149	8.95
-6.67	44.8	-0.271	149	8.96
-6.67	44.8	-0.271	149	8.96
-6.67	44.8	-0.271	149	8.96
-7.50	44.8	-0.305	149	8.96
-6.67	44.8	-0.271	149	8.96

