Force (N),Position (mm),Strain (%),Stress (MPa)
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.35,5.35,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.36,5.36,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.37,5.37,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.38,5.38,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.39,5.39,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.40,5.40,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.41,5.41,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.42,5.42,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.43,5.43,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.44,5.44,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.45,5.45,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.46,5.46,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
11800,5.47,5.47,8.76
